Date,pos,neg,neutral,compound,pos',neg',neutral',compound'
2009/2/24,0.09276,0.17964,0.7276,-0.158032,0.04056,-0.008,-0.0326,0.101244
2009/2/25,0.06136,0.17716,0.76156,-0.287948,-0.0314,-0.00248,0.03396,-0.129916
2009/2/26,0.07468,0.15104,0.77424,-0.162836,0.01332,-0.02612,0.01268,0.125112
2009/2/27,0.05452,0.16544,0.78004,-0.223044,-0.02016,0.0144,0.0058,-0.060208
2009/3/2,0.0546,0.17448,0.77096,-0.184456,8.00E-05,0.00904,-0.00908,0.038588
2009/3/3,0.0666,0.17248,0.76092,-0.243072,0.012,-0.002,-0.01004,-0.058616
2009/3/4,0.08084,0.2476,0.67156,-0.345128,0.01424,0.07512,-0.08936,-0.102056
2009/3/5,0.06744,0.16144,0.77112,-0.244876,-0.0134,-0.08616,0.09956,0.100252
2009/3/6,0.05932,0.20712,0.7336,-0.303992,-0.00812,0.04568,-0.03752,-0.059116
2009/3/9,0.09084,0.16928,0.73992,-0.102452,0.03152,-0.03784,0.00632,0.20154
2009/3/10,0.06836,0.15044,0.78116,-0.173352,-0.02248,-0.01884,0.04124,-0.0709
2009/3/11,0.03792,0.30884,0.65316,-0.438168,-0.03044,0.1584,-0.128,-0.264816
2009/3/12,0.06372,0.1934,0.74284,-0.280244,0.0258,-0.11544,0.08968,0.157924
2009/3/13,0.053,0.15736,0.7896,-0.220628,-0.01072,-0.03604,0.04676,0.059616
2009/3/16,0.07784,0.14476,0.77744,-0.191472,0.02484,-0.0126,-0.01216,0.029156
2009/3/17,0.04212,0.2548,0.70308,-0.381584,-0.03572,0.11004,-0.07436,-0.190112
2009/3/18,0.04748,0.22336,0.72908,-0.3317,0.00536,-0.03144,0.026,0.049884
2009/3/19,0.0756,0.22908,0.69536,-0.330976,0.02812,0.00572,-0.03372,0.000724
2009/3/20,0.0352,0.21076,0.754,-0.3837,-0.0404,-0.01832,0.05864,-0.052724
2009/3/23,0.06132,0.20892,0.72976,-0.234924,0.02612,-0.00184,-0.02424,0.148776
2009/3/24,0.04472,0.2064,0.74888,-0.397352,-0.0166,-0.00252,0.01912,-0.162428
2009/3/25,0.05616,0.23212,0.71172,-0.296756,0.01144,0.02572,-0.03716,0.100596
2009/3/26,0.05604,0.24604,0.6978,-0.352116,-0.00012,0.01392,-0.01392,-0.05536
2009/3/27,0.08664,0.19084,0.72252,-0.231392,0.0306,-0.0552,0.02472,0.120724
2009/3/30,0.01952,0.14884,0.83164,-0.239784,-0.06712,-0.042,0.10912,-0.008392
2009/3/31,0.061,0.17656,0.76244,-0.235604,0.04148,0.02772,-0.0692,0.00418
2009/4/1,0.05856,0.12888,0.81252,-0.126388,-0.00244,-0.04768,0.05008,0.109216
2009/4/2,0.05972,0.23064,0.70964,-0.287216,0.00116,0.10176,-0.10288,-0.160828
2009/4/3,0.04408,0.15236,0.8036,-0.223556,-0.01564,-0.07828,0.09396,0.06366
2009/4/6,0.10372,0.17856,0.7178,-0.200332,0.05964,0.0262,-0.0858,0.023224
